Source,MW,AliR_C,AroR_C,ChiA_C,SA,NHOH_C,HetA_C,RotB_C,BriA_C,HBD_C,HBA_C,FusedR_C,LogP_C
ABL_dataset_2HZ0_GIN_processed,0.8243729684873953,0.5753676470588235,0.38900560224089636,0.5709033613445378,0.7973389355742297,0.4991246498599439,0.81859243697479,0.8159138655462185,0.02415966386554622,0.5600840336134454,0.6024159663865546,0.24037114845938376,0.5676313004201683
ABL_dataset_2HZI_JIN_processed,0.7011994029535867,0.5822784810126582,0.35794655414908577,0.5304149085794656,0.7792897327707455,0.38871308016877637,0.681223628691983,0.5039556962025317,0.026371308016877638,0.42658227848101266,0.525,0.35372714486638535,0.4969753291139243
ABL_dataset_5HU9_66K_processed,0.7995377130977133,0.5823804573804574,0.3108108108108108,0.5975398475398475,0.7874740124740124,0.5308385308385308,0.7935550935550936,0.8464137214137214,0.02286902286902287,0.5856548856548857,0.6107068607068608,0.24064449064449064,0.5056646008316011
DPP_dataset_1RWQ_5AP_processed,0.656974692929293,0.5305555555555556,0.13265993265993264,0.7946127946127947,0.7884006734006734,0.6661616161616162,0.7308080808080808,0.6486111111111111,0.047474747474747475,0.6462626262626262,0.5358585858585858,0.20454545454545456,0.1738514020202022
DPP_dataset_2G63_AAF_processed,0.7835883417593531,0.5396865520728008,0.15672396359959556,0.8490057296932928,0.8166161105493766,0.7177283451297606,0.882103134479272,0.919994944388271,0.06319514661274014,0.7166835187057633,0.6177957532861477,0.1777890124705089,0.2690901577350862
DPP_dataset_2OGZ_U1N_processed,0.7048252796780686,0.5779678068410463,0.16163648558014754,0.8356807511737089,0.8260731052984573,0.6465459423205903,0.7199195171026156,0.6758048289738431,0.06287726358148893,0.637625754527163,0.5471830985915491,0.20975855130784707,0.2611508088531189
DPP_dataset_2QJR_PZF_processed,0.8111857487335361,0.6811043566362716,0.16784869976359337,0.94967916244512,0.8899527186761229,0.715467747382641,0.8674772036474164,0.8447315096251267,0.041033434650455926,0.7011144883485309,0.6369807497467073,0.2764268828098615,0.29620885916919987
DPP_dataset_3EIO_AJH_processed,0.8465152225641028,0.6446153846153846,0.22735042735042738,0.8133333333333334,0.8507521367521368,0.7092307692307692,0.9127179487179488,0.9433333333333334,0.013333333333333334,0.700102564102564,0.6684102564102564,0.2523076923076923,0.34332770871794904
DPP_dataset_3SWW_KXB_processed,0.6789307983706723,0.5061099796334012,0.14969450101832993,0.7549219280380176,0.7713509843856076,0.6892396469789545,0.7933808553971489,0.7059572301425662,0.03615071283095723,0.6908350305498983,0.5710794297352343,0.17973523421588594,0.14498930346232194
DPP_dataset_3VJM_W61_processed,0.7996278428571431,0.6760204081632653,0.19183673469387755,0.8863945578231293,0.8793537414965986,0.6539115646258504,0.8537755102040817,0.7876275510204082,0.04387755102040816,0.656326530612245,0.6295918367346939,0.2695578231292517,0.29938398775510233
DPP_dataset_5KBY_6RL_processed,0.7039831612903229,0.6292842741935484,0.18783602150537634,0.8466061827956989,0.8523521505376345,0.617271505376344,0.7181451612903226,0.623991935483871,0.0690524193548387,0.6127016129032258,0.5359879032258065,0.2620967741935484,0.2630878588709679
MTB_dataset_4UNR_QZE_processed,0.7948730695296526,0.6505623721881391,0.21131561008861624,0.7443762781186094,0.8378834355828221,0.4613156100886162,0.7678936605316974,0.7464212678936605,0.07719836400817996,0.532310838445808,0.56840490797546,0.31952965235173825,0.5216453251533746
MTB_dataset_6YT1_PK5_processed,0.7083036283367558,0.5184804928131417,0.23648186173853522,0.6084873374401095,0.7526180698151951,0.549110198494182,0.7519507186858316,0.7150924024640657,0.028747433264887063,0.5938398357289527,0.5720739219712526,0.22672826830937712,0.3081637474332651
PARP_dataset_5WS1_7U9_processed,0.7410211453175459,0.7424650161463939,0.2185145317545748,0.715464657337639,0.8625583064226766,0.5432364549695012,0.7881593110871906,0.579924650161464,0.08288482238966631,0.5758880516684607,0.6173304628632938,0.4278794402583423,0.27536477933261594
PARP_dataset_7AAC_78P_processed,0.6216405059203445,0.6393972012917115,0.2289199856476498,0.5116612845353427,0.7698959454610693,0.453713670613563,0.6702906350914963,0.405005382131324,0.07965554359526372,0.4656620021528525,0.5229278794402583,0.4076067456045927,0.23892991173304645
PARP_dataset_7ONT_VKQ_processed,0.8551911254019297,0.6345123258306538,0.2207931404072883,0.8308324401571989,0.8529832082886746,0.6981064665952125,0.9557341907824224,0.9630225080385852,0.026259378349410504,0.7592711682743837,0.7463022508038585,0.25366202215076816,0.22190729260450195
