Source,MW,AliR_C,AroR_C,ChiA_C,SA,NHOH_C,HetA_C,RotB_C,BriA_C,HBD_C,HBA_C,FusedR_C,LogP_C
ABL_dataset_2HZ0_GIN_processed,0.8223791234042556,0.5805851063829788,0.3882978723404255,0.5872340425531914,0.8035460992907801,0.4985815602836879,0.8241489361702128,0.8293882978723405,0.026063829787234042,0.5597872340425532,0.6088297872340425,0.2460992907801418,0.5620257000000003
ABL_dataset_2HZI_JIN_processed,0.6936117742616036,0.5830696202531646,0.34985935302390997,0.5499296765119549,0.7863924050632911,0.4026019690576652,0.6614978902953587,0.5011867088607594,0.04377637130801688,0.44198312236286924,0.5253164556962026,0.34616736990154706,0.4779323059071733
ABL_dataset_5HU9_66K_processed,0.8033245486542446,0.5812629399585921,0.29330572808833677,0.6021394064872326,0.7851794340924776,0.5244996549344375,0.7985507246376812,0.8544254658385093,0.030538302277432712,0.5817805383022774,0.6095238095238095,0.2360248447204969,0.5063459399585925
DPP_dataset_1RWQ_5AP_processed,0.6653014179254785,0.5498489425981873,0.12755958375293722,0.81067472306143,0.7973648875461564,0.667002349781806,0.7389728096676736,0.6401057401812689,0.04229607250755287,0.6596173212487412,0.5474320241691845,0.21366230278616988,0.1645917945619337
DPP_dataset_2G63_AAF_processed,0.7713308799192736,0.5421291624621595,0.13420787083753785,0.8462832156071308,0.810309451732257,0.7034981500168181,0.8692230070635723,0.8896316851664985,0.05953582240161453,0.6980827447023208,0.61715438950555,0.16683484695593676,0.24623582240161476
DPP_dataset_2OGZ_U1N_processed,0.7068316425702814,0.5891064257028112,0.1760374832663989,0.8346720214190094,0.8326472556894244,0.6350401606425703,0.7283132530120483,0.6676706827309237,0.06124497991967871,0.6194779116465864,0.5485943775100401,0.22473226238286478,0.2583660582329319
DPP_dataset_2QJR_PZF_processed,0.8179992060913709,0.6753807106598985,0.17800338409475464,0.9671742808798647,0.8960913705583756,0.7116751269035533,0.8654822335025381,0.8734771573604061,0.04060913705583756,0.6972588832487309,0.6309644670050761,0.2714043993231811,0.31605494822335045
DPP_dataset_3EIO_AJH_processed,0.8506435303643729,0.6361336032388664,0.2233468286099865,0.8282726045883941,0.8525809716599191,0.7329622132253713,0.9257085020242916,0.9617914979757085,0.02125506072874494,0.7255060728744939,0.6818825910931173,0.23937246963562753,0.33008900607287484
DPP_dataset_3SWW_KXB_processed,0.6840339071644804,0.5330474268415741,0.1506895391860074,0.7674066599394551,0.7875210225361589,0.6696939118735284,0.7851664984863774,0.6692734611503531,0.0615539858728557,0.6698284561049445,0.5635721493440968,0.20450723175243862,0.1631587568113019
DPP_dataset_3VJM_W61_processed,0.7866142272727276,0.6627066115702479,0.17837465564738295,0.8737947658402203,0.8675275482093664,0.6639118457300275,0.8389462809917354,0.7835743801652892,0.04442148760330578,0.662603305785124,0.6215909090909091,0.26136363636363635,0.2918162768595044
DPP_dataset_5KBY_6RL_processed,0.7126386511156189,0.6255070993914807,0.1852603110209601,0.84026369168357,0.8518762677484788,0.6374239350912779,0.7427991886409737,0.6277890466531441,0.0872210953346856,0.6363083164300204,0.5485801217038541,0.2647058823529412,0.243005346855984
MTB_dataset_4UNR_QZE_processed,0.7872993610822062,0.6347554630593132,0.22303156434269855,0.7634408602150538,0.8412937911897329,0.4656607700312175,0.751092611862643,0.7341311134235172,0.07700312174817898,0.5371488033298648,0.5599375650364203,0.32067291016302457,0.518693925078044
MTB_dataset_6YT1_PK5_processed,0.7067822904564316,0.5383817427385892,0.21922544951590592,0.6329529737206085,0.7606500691562932,0.5587828492392809,0.7556016597510373,0.7144709543568465,0.02074688796680498,0.6103734439834024,0.5827800829875518,0.23046334716459196,0.29821366182572634
PARP_dataset_5WS1_7U9_processed,0.7493181230116651,0.7393955461293743,0.223400494874514,0.6998939554612937,0.8610463061152351,0.5344644750795334,0.8093319194061505,0.5673382820784729,0.09490986214209968,0.5728525980911984,0.6274655355249206,0.4307175680452457,0.2735625620360554
PARP_dataset_7AAC_78P_processed,0.6256238844919787,0.6334224598930481,0.23921568627450981,0.519964349376114,0.7712655971479501,0.45525846702317285,0.6617112299465241,0.41510695187165775,0.07754010695187166,0.47229946524064176,0.5152941176470589,0.4019607843137254,0.2701084577540108
PARP_dataset_7ONT_VKQ_processed,0.8642220597652085,0.6878335112059765,0.20526503023834933,0.8829598007826396,0.8866061899679829,0.7202063322660974,0.9658484525080042,0.9462379935965849,0.05549626467449306,0.7863393810032017,0.7533617929562433,0.2719672714336535,0.2028382027748136
